Properties at Lat: -43.552000 Lon: 171.850000
Depth 	 Vp 	 Vs 	 Rho
98.500000 	 1.800000 	 0.500000 	 1.810000
95.500000 	 1.800000 	 0.500000 	 1.810000
92.500000 	 1.800000 	 0.500000 	 1.810000
89.500000 	 1.800000 	 0.500000 	 1.810000
86.500000 	 1.800000 	 0.500000 	 1.810000
83.500000 	 1.800000 	 0.500000 	 1.810000
80.500000 	 1.800000 	 0.500000 	 1.810000
77.500000 	 1.800000 	 0.500000 	 1.810000
74.500000 	 1.800000 	 0.500000 	 1.810000
71.500000 	 1.800000 	 0.500000 	 1.810000
68.500000 	 1.800000 	 0.500000 	 1.810000
65.500000 	 1.800000 	 0.500000 	 1.810000
62.500000 	 1.800000 	 0.500000 	 1.810000
59.500000 	 1.800000 	 0.500000 	 1.810000
56.500000 	 1.800000 	 0.500000 	 1.810000
53.500000 	 1.800000 	 0.500000 	 1.810000
50.500000 	 1.800000 	 0.500000 	 1.810000
47.500000 	 1.800000 	 0.500000 	 1.810000
44.500000 	 1.800000 	 0.500000 	 1.810000
41.500000 	 1.800000 	 0.500000 	 1.810000
38.500000 	 1.800000 	 0.500000 	 1.810000
35.500000 	 1.800000 	 0.500000 	 1.810000
32.500000 	 1.800000 	 0.500000 	 1.810000
29.500000 	 1.800000 	 0.500000 	 1.810000
26.500000 	 1.800000 	 0.500000 	 1.810000
23.500000 	 1.800000 	 0.500000 	 1.810000
20.500000 	 1.800000 	 0.500000 	 1.810000
17.500000 	 1.800000 	 0.500000 	 1.810000
14.500000 	 1.800000 	 0.500000 	 1.810000
11.500000 	 1.800000 	 0.500000 	 1.810000
8.500000 	 1.800000 	 0.500000 	 1.810000
5.500000 	 1.800000 	 0.500000 	 1.810000
2.500000 	 1.800000 	 0.500000 	 1.810000
-0.500000 	 1.800000 	 0.500000 	 1.810000
-3.500000 	 1.800000 	 0.500000 	 1.810000
-6.500000 	 1.800000 	 0.500000 	 1.810000
-9.500000 	 1.800000 	 0.500000 	 1.810000
-12.500000 	 1.800000 	 0.500000 	 1.810000
-15.500000 	 1.800000 	 0.500000 	 1.810000
-18.500000 	 1.800000 	 0.500000 	 1.810000
-21.500000 	 1.800000 	 0.500000 	 1.810000
-24.500000 	 1.800000 	 0.500000 	 1.810000
-27.500000 	 1.800000 	 0.500000 	 1.810000
-30.500000 	 1.800000 	 0.500000 	 1.810000
-33.500000 	 1.800000 	 0.500000 	 1.810000
-36.500000 	 1.800000 	 0.500000 	 1.810000
-39.500000 	 1.800000 	 0.500000 	 1.810000
-42.500000 	 1.800000 	 0.500000 	 1.810000
-45.500000 	 1.800000 	 0.500000 	 1.810000
-48.500000 	 1.800000 	 0.500000 	 1.810000
-51.500000 	 1.800000 	 0.500000 	 1.810000
